DateTime,AddedIPs,RemovedIPs
1578616660,1,1
1578636064,4,0
1578693414,1,0
1578721935,0,4
1578749800,1,0
1578778814,0,1
1578780803,0,1
1578814466,1,0
1578876737,0,1
1578896895,0,1
1578900743,0,1
1578927159,1,0
1578930976,0,1
1578932903,1,0
1578992711,1,0
1579020340,0,1
1579162709,0,1
1579164524,1,0
1579206018,12,0
1579292910,0,11
1579341137,2,0
1579425615,0,1
1579427536,1,2
1579433297,1,0
1579438112,0,1
1579459467,1,0
1579461648,1,0
1579479384,1,0
1579518975,2,0
1579520909,1,0
1579522813,1,0
1579534286,1,0
1579548033,0,1
1579560491,0,1
1579566252,0,1
1579600092,0,1
1579603951,1,0
1579605856,0,2
1579607771,1,0
1579612582,1,0
1579614503,0,2
1579616425,1,0
1579618335,3,0
1579620265,6,1
1579622174,8,0
1579624101,7,0
1579626130,5,0
1579627949,1,0
1579629914,1,0
1579631776,4,0
1579633699,4,0
1579635621,2,0
1579637574,1,0
1579641379,5,0
1579643301,3,0
1579645218,2,0
1579647136,4,0
1579649061,2,0
1579650976,1,0
1579652894,4,0
1579656008,2,0
1579657956,6,0
1579659862,4,0
1579661797,3,0
1579663693,5,0
1579665677,4,0
1579667548,1,0
1579669563,1,0
1579673311,1,0
1579677141,1,0
1579679066,1,0
1579680981,1,0
1579682896,1,0
1579686733,1,0
1579690584,1,1
1579695389,2,0
1579697311,1,0
1579699221,1,1
1579701143,1,0
1579703101,0,1
1579704979,0,5
1579706914,0,5
1579709102,0,9
1579711233,0,5
1579713142,0,2
1579716980,0,1
1579719141,0,4
1579721056,0,2
1579722989,0,3
1579727133,0,4
1579728972,0,3
1579730911,0,3
1579732828,0,2
1579734732,0,4
1579736669,0,2
1579738572,0,4
1579740510,0,3
1579742434,0,1
1579744335,0,4
1579746258,0,1
1579748192,0,1
1579750095,0,2
1579752975,0,4
1579754894,0,3
1579756838,0,2
1579758779,0,4
1579760699,0,1
1579762641,0,2
1579764498,0,1
1579766486,1,3
1579768367,0,3
1579770312,0,1
1579774090,0,1
1579777934,0,1
1579779854,0,1
1579781781,0,2
1579783693,1,1
1579785608,0,1
1579787561,0,1
1579819212,1,0
1579852125,0,1
1579854049,1,0
1579869619,6,0
1579871566,1,0
1579873463,3,0
1579875405,1,0
1579877306,2,0
1579879220,1,1
1579881160,4,0
1579883056,1,0
1579885003,3,0
1579886900,3,0
1579888868,6,0
1579890753,3,0
1579892929,3,0
1579894822,3,0
1579896993,2,0
1579898915,5,0
1579900820,3,0
1579902737,4,0
1579904718,2,0
1579906619,4,1
1579908666,2,0
1579910520,2,0
1579912363,2,0
1579914293,1,0
1579920021,2,0
1579923865,3,0
1579925779,1,0
1579927700,3,0
1579931541,2,0
1579933468,2,0
1579935380,2,0
1579937299,5,0
1579939294,3,1
1579941145,7,0
1579943318,4,0
1579945216,4,0
1579947177,3,0
1579949061,4,0
1579951007,3,0
1579952933,4,0
1579954818,3,1
1579956734,5,3
1579958684,4,1
1579960575,6,1
1579962497,2,1
1579964508,6,0
1579966343,5,1
1579968502,7,1
1579970603,6,2
1579972597,5,2
1579974531,4,6
1579976423,4,2
1579978329,7,3
1579980253,3,2
1579982182,11,2
1579984089,3,3
1579986091,8,3
1579987949,4,3
1579989924,7,3
1579991773,3,2
1579993703,8,3
1579995611,5,3
1579997791,5,2
1579999707,3,2
1580001620,4,0
1580003530,1,0
1580005465,0,4
1580007376,2,0
1580009294,1,2
1580012226,0,2
1580014143,1,3
1580016015,3,1
1580017960,1,1
1580019863,4,2
1580021771,2,2
1580023695,3,6
1580025753,2,3
1580027783,3,9
1580029703,1,2
1580031615,3,5
1580033577,1,3
1580035453,3,4
1580037391,1,3
1580039305,4,4
1580041252,3,3
1580043131,3,7
1580045064,3,5
1580046972,3,6
1580048888,4,3
1580050910,4,6
1580052745,3,6
1580054915,3,6
1580056817,7,5
1580058735,2,5
1580060666,5,3
1580062573,2,4
1580064495,4,4
1580066425,2,5
1580068327,4,8
1580070251,2,5
1580072207,4,6
1580074089,2,3
1580076097,4,5
1580077950,3,3
1580080114,3,5
