DateTime,AddedIPs,RemovedIPs
1580271122,3,0
1580272382,1,0
1580273521,1,0
1580275477,835,252
1580275981,2,0
1580277721,3,1
1580278921,1,0
1580281921,2,0
1580282522,4,0
1580283722,1,0
1580284921,1,1
1580285521,3,0
1580286121,1,0
1580289721,6,0
1580293922,1,0
1580295121,1,0
1580295721,1,0
1580297581,5,0
1580298121,2,0
1580298721,2,0
1580299321,2,0
1580300521,4,0
1580302321,1,0
1580302921,4,0
1580304122,1,0
1580304721,0,1
1580306521,2,0
1580307721,2,0
1580308321,3,0
1580309521,3,0
1580310721,1,0
1580311321,2,0
1580313121,1,0
1580313721,5,0
1580314921,1,0
1580315522,1,0
1580316121,1,0
1580317321,1,0
1580318522,1,0
1580319721,2,0
1580321521,1,0
1580322121,9,0
1580323322,6,0
1580323921,1,0
1580324522,2,0
1580326921,2,0
1580327521,1,0
1580328721,2,0
1580331721,4,1
1580332922,3,0
1580333522,1,0
1580334121,8,0
1580335321,16,0
1580336521,3,0
1580337121,4,0
1580337721,12,0
1580338921,4,1
1580339521,12,0
1580340121,5,0
1580341321,2,0
1580342521,3,0
1580343721,13,0
1580344921,8,0
1580346121,9,0
1580346721,3,0
1580348521,1,0
1580348522,5,0
1580349722,2,0
1580350321,1,0
1580350921,8,0
1580352121,5,0
1580353321,4,0
1580354521,1,0
1580355121,1,1
1580355721,4,0
1580356921,11,0
1580358121,4,0
1580358721,1,0
1580359321,2,0
1580360522,19,0
1580361721,4,1
1580362606,830,270
1580362922,2,0
1580363521,2,0
1580364122,1,0
1580364721,1,0
1580365321,4,2
1580366521,2,0
1580367721,5,0
1580368921,4,0
1580370121,8,0
1580371321,2,0
1580372521,1,0
1580373121,6,0
1580374321,2,0
1580374922,8,0
1580375521,4,0
1580377322,1,0
1580378521,3,0
1580379721,3,0
1580380921,2,0
1580382121,5,0
1580382721,4,0
1580383922,1,0
1580385121,3,0
1580385721,4,0
1580386321,2,0
1580386921,1,0
1580387581,2,0
1580388121,1,0
1580388722,2,0
1580389321,1,0
1580390521,3,0
1580391121,1,0
1580391181,11,0
1580392321,1,0
1580394122,2,0
1580395921,1,0
1580396522,5,0
1580397721,2,0
1580398322,2,0
1580398921,1,0
1580400121,3,0
1580401321,1,0
1580402522,1,0
1580404321,4,0
1580406121,6,0
1580406721,0,1
1580407321,3,0
1580407921,3,0
1580408521,1,0
1580409121,9,0
1580409722,4,0
1580410921,1,0
1580411521,1,0
1580412121,1,0
1580412722,2,0
1580413321,5,0
1580414522,5,0
1580415121,2,0
1580415722,1,0
1580417522,4,0
1580419321,4,0
1580419921,1,0
1580419982,1,0
1580420521,4,0
1580422321,6,0
1580422922,3,0
1580424721,4,0
1580425321,3,0
1580426521,3,0
1580427122,2,0
1580427722,2,0
1580428921,4,0
1580430121,2,0
1580430721,1,0
1580431321,2,0
1580431921,1,0
1580432521,2,0
1580433122,4,0
1580433721,6,1
1580434922,4,0
1580436121,1,0
1580436721,3,0
1580437321,2,0
1580437981,2,0
1580439722,4,0
1580440921,5,0
1580441521,10,0
1580442121,1,0
1580444521,9,0
1580445721,2,0
1580446922,4,0
1580448121,3,0
1580449321,8,0
1580449728,1037,295
1580450521,4,0
1580451722,2,0
1580452921,4,0
1580455321,2,0
1580456521,1,0
1580457721,5,1
1580460121,4,0
1580460721,1,0
1580463122,1,0
1580463721,1,0
1580464921,2,1
1580465521,11,0
1580466122,1,0
1580466721,1,0
1580467921,5,0
1580469122,3,0
1580470322,5,0
1580472121,2,0
1580472721,1,0
1580475722,2,0
1580478121,1,0
1580479921,2,0
1580481721,1,0
1580482321,4,0
1580482921,1,0
1580483521,3,0
1580484122,1,0
1580484721,2,0
1580485921,1,0
1580486522,1,0
1580487721,2,0
1580488321,1,0
1580488922,3,0
1580490121,1,0
1580491321,4,0
1580491981,0,1
1580496121,3,0
1580496721,4,0
1580497322,1,0
1580497922,1,0
1580498522,1,0
1580499721,2,0
1580502121,1,0
1580503322,3,0
1580504521,3,0
1580506921,3,0
1580507521,3,2
1580508121,1,0
1580508722,1,0
1580509321,1,0
1580509922,0,2
1580509982,2,0
1580511121,2,0
1580511721,2,0
1580512921,2,0
1580516522,2,0
1580517121,6,0
1580517721,3,0
1580518921,3,0
1580520121,2,1
1580521322,1,0
1580523721,4,0
1580524921,5,0
1580526122,1,0
1580529721,5,0
1580530321,0,1
1580532121,1,0
1580533322,1,0
1580533921,4,0
1580534521,1,0
1580536856,861,310
1580537521,0,1
1580538122,2,0
1580539321,2,0
1580540521,1,0
1580541722,8,0
1580543522,1,0
1580545981,3,0
1580546521,1,1
1580547121,1,0
1580547721,2,0
1580548921,4,0
1580551322,1,0
1580553182,3,0
1580553721,3,0
1580554321,4,0
1580554921,2,0
1580555522,2,0
1580556722,2,0
1580557321,1,1
1580558522,3,0
1580560321,1,0
1580562721,4,0
1580563321,1,0
1580563982,1,0
1580565721,1,0
1580566321,0,1
1580566921,16,0
1580567521,1,0
1580568122,3,0
1580568721,1,0
1580569921,1,0
1580570521,13,0
1580571121,1,0
1580571721,5,0
1580572921,14,0
1580573521,3,0
1580574122,2,0
1580575321,3,0
1580575921,2,0
1580576521,2,1
1580577121,1,0
1580578321,3,0
1580578921,2,0
1580580121,3,0
1580580721,4,0
1580581321,3,0
1580581921,1,0
1580582521,5,0
1580583121,2,0
1580583722,4,0
1580584321,1,0
1580584921,4,0
1580585521,2,0
1580586121,2,0
1580586721,2,0
1580587921,2,0
1580588521,4,0
1580589121,1,0
1580589721,2,0
1580590922,4,0
1580591521,3,0
1580592121,3,0
1580592722,4,0
1580593322,2,0
1580593921,4,0
1580595121,3,0
1580595721,3,0
1580596321,1,0
1580596921,1,0
1580598121,1,0
1580599322,3,0
1580599921,3,0
1580600521,2,0
1580601121,2,0
1580601721,4,0
1580602922,5,0
1580604121,4,0
1580606521,2,0
1580607721,2,0
1580608921,7,0
1580610121,1,0
1580611321,1,1
1580612521,1,0
1580613721,5,0
1580614921,2,0
1580615522,2,0
1580616121,2,0
1580616721,1,0
1580617921,3,1
1580618521,1,0
1580619122,4,0
1580619721,2,0
1580622121,2,0
1580623322,6,0
1580623967,899,261
1580625181,1,0
1580625721,7,0
1580626922,2,0
1580628121,6,1
1580630521,4,0
1580632381,1,0
1580632921,2,0
1580633522,2,0
1580634121,1,0
1580635321,1,0
1580636521,2,0
1580637121,1,0
1580638321,1,0
1580640121,1,0
1580640721,7,0
1580643121,1,0
1580643721,2,0
1580644921,1,0
1580645522,3,0
1580646121,2,0
1580647921,1,0
1580649721,2,0
1580650321,1,0
1580650921,1,0
1580652121,1,0
1580652722,1,0
1580653321,1,0
1580654522,7,0
1580656921,1,0
1580657581,2,0
1580658122,1,0
1580659921,2,0
1580662921,3,0
1580663521,1,0
1580664121,2,0
1580665921,1,0
1580666522,11,0
1580667722,4,0
1580668921,4,0
1580671321,3,0
1580672521,2,1
1580673722,1,0
1580674321,3,0
1580674921,2,0
1580675521,2,0
1580676121,1,0
1580678522,3,0
1580679122,1,0
1580680921,3,1
1580681521,1,0
1580682121,1,0
1580682721,1,0
1580682781,1,0
1580683921,1,1
1580684521,2,0
1580685721,3,0
1580686922,1,0
1580687521,2,0
1580688121,1,0
1580689321,2,0
1580690522,1,0
1580692321,1,0
1580692921,3,0
1580694122,3,0
1580695322,2,0
1580696521,3,0
1580699521,1,0
1580700121,1,0
1580701321,3,0
1580702521,2,0
1580704921,8,0
1580706121,2,0
1580707321,3,0
1580707921,1,0
1580708521,2,0
1580709721,2,0
1580711082,917,243
1580711582,3,0
1580712122,0,1
1580713322,2,0
1580714522,2,0
1580715721,5,0
1580717522,4,0
1580719321,3,0
1580720521,1,1
1580721121,2,0
1580721721,1,0
1580722382,1,0
1580724722,2,0
1580725922,1,0
1580726521,1,0
1580727721,12,0
1580731321,2,0
1580732522,1,0
1580733181,4,0
1580734921,1,0
1580736721,4,0
1580742722,9,1
1580743321,1,0
1580745721,3,0
1580746321,1,0
1580746921,1,0
1580748721,3,0
1580749322,1,0
1580749921,2,0
1580752921,5,0
1580754121,1,0
1580755321,1,0
1580755921,6,0
1580757721,2,0
1580758922,3,0
1580760121,1,0
1580761321,3,1
1580762522,4,0
1580764921,1,0
1580765521,1,0
1580766121,1,0
1580767321,5,0
1580768521,5,1
1580769721,5,0
1580772781,1,0
1580774521,2,0
1580775121,2,0
1580775721,1,1
1580776921,1,0
1580778121,5,0
1580778721,2,0
1580779321,3,0
1580780521,1,0
1580781121,4,0
1580782322,1,0
1580784121,2,0
1580786522,2,0
1580787721,2,0
1580789522,2,0
1580790121,3,0
1580791321,7,1
1580793121,1,0
1580793721,4,0
1580794382,1,0
1580794922,4,0
1580796121,1,0
1580797321,3,0
1580798197,808,314
1580798521,1,0
1580800921,3,0
1580802122,6,0
1580803321,4,1
1580804521,4,0
1580805721,1,0
1580806921,8,0
1580808121,3,0
1580809321,5,0
1580809921,2,0
1580811121,0,1
1580812921,3,0
1580814121,3,0
1580814722,1,0
